Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
CSK,RR,RR,3 wickets,DY Patil,"Jun 1, 2008",Twenty20
CSK,Kings XI,CSK,9 wickets,Wankhede,"May 31, 2008",Twenty20
Daredevils,RR,RR,105 runs,Wankhede,"May 30, 2008",Twenty20
Kings XI,RR,Kings XI,41 runs,Mohali,"May 28, 2008",Twenty20
RCB,MI,MI,9 wickets,Bengaluru,"May 28, 2008",Twenty20
Chargers,CSK,CSK,7 wickets,Hyderabad,"May 27, 2008",Twenty20
RR,MI,RR,5 wickets,Jaipur,"May 26, 2008",Twenty20
KKR,Kings XI,KKR,3 wickets,Eden Gardens,"May 25, 2008",Twenty20
Chargers,RCB,RCB,5 wickets,Hyderabad,"May 25, 2008",Twenty20
Daredevils,MI,Daredevils,5 wickets,Delhi,"May 24, 2008",Twenty20
CSK,RR,RR,10 runs,Chennai,"May 24, 2008",Twenty20
Kings XI,Chargers,Kings XI,6 wickets,Mohali,"May 23, 2008",Twenty20
CSK,RCB,RCB,14 runs,Chennai,"May 21, 2008",Twenty20
MI,Kings XI,Kings XI,1 run,Wankhede,"May 21, 2008",Twenty20
KKR,RR,RR,6 wickets,Eden Gardens,"May 20, 2008",Twenty20
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,"May 19, 2008",Twenty20
Chargers,MI,MI,25 runs,Hyderabad,"May 18, 2008",Twenty20
KKR,CSK,CSK,3 runs,Eden Gardens,"May 18, 2008",Twenty20
Daredevils,Kings XI,Kings XI,6 runs,Delhi,"May 17, 2008",Twenty20
RR,RCB,RR,65 runs,Jaipur,"May 17, 2008",Twenty20
MI,KKR,MI,8 wickets,Wankhede,"May 16, 2008",Twenty20
Daredevils,Chargers,Daredevils,12 runs,Delhi,"May 15, 2008",Twenty20
MI,CSK,MI,9 wickets,Wankhede,"May 14, 2008",Twenty20
KKR,Daredevils,KKR,23 runs,Eden Gardens,"May 13, 2008",Twenty20
Kings XI,RCB,Kings XI,9 wickets,Mohali,"May 12, 2008",Twenty20
RR,Daredevils,RR,3 wickets,Jaipur,"May 11, 2008",Twenty20
Chargers,KKR,KKR,23 runs,Hyderabad,"May 11, 2008",Twenty20
CSK,Kings XI,CSK,18 runs,Chennai,"May 10, 2008",Twenty20
RR,Chargers,RR,8 wickets,Jaipur,"May 9, 2008",Twenty20
KKR,RCB,KKR,5 runs,Eden Gardens,"May 8, 2008",Twenty20
Daredevils,CSK,CSK,4 wickets,Delhi,"May 8, 2008",Twenty20
MI,RR,MI,7 wickets,DY Patil,"May 7, 2008",Twenty20
CSK,Chargers,Chargers,7 wickets,Chennai,"May 6, 2008",Twenty20
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,"May 5, 2008",Twenty20
RR,CSK,RR,8 wickets,Jaipur,"May 4, 2008",Twenty20
MI,Daredevils,MI,29 runs,DY Patil,"May 4, 2008",Twenty20
Kings XI,KKR,Kings XI,9 runs,Mohali,"May 3, 2008",Twenty20
RCB,Chargers,RCB,3 runs,Bengaluru,"May 3, 2008",Twenty20
CSK,Daredevils,Daredevils,8 wickets,Chennai,"May 2, 2008",Twenty20
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad,"May 1, 2008",Twenty20
RR,KKR,RR,45 runs,Jaipur,"May 1, 2008",Twenty20
Daredevils,RCB,Daredevils,10 runs,Delhi,"Apr 30, 2008",Twenty20
KKR,MI,MI,7 wickets,Eden Gardens,"Apr 29, 2008",Twenty20
RCB,CSK,CSK,13 runs,Bengaluru,"Apr 28, 2008",Twenty20
MI,Chargers,Chargers,10 wickets,DY Patil,"Apr 27, 2008",Twenty20
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,"Apr 27, 2008",Twenty20
RCB,RR,RR,7 wickets,Bengaluru,"Apr 26, 2008",Twenty20
CSK,KKR,CSK,9 wickets,Chennai,"Apr 26, 2008",Twenty20
Kings XI,MI,Kings XI,66 runs,Mohali,"Apr 25, 2008",Twenty20
Chargers,RR,RR,3 wickets,Hyderabad,"Apr 24, 2008",Twenty20
CSK,MI,CSK,6 runs,Chennai,"Apr 23, 2008",Twenty20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,"Apr 22, 2008",Twenty20
RR,Kings XI,RR,6 wickets,Jaipur,"Apr 21, 2008",Twenty20
MI,RCB,RCB,5 wickets,Wankhede,"Apr 20, 2008",Twenty20
KKR,Chargers,KKR,5 wickets,Eden Gardens,"Apr 20, 2008",Twenty20
Daredevils,RR,Daredevils,9 wickets,Delhi,"Apr 19, 2008",Twenty20
Kings XI,CSK,CSK,33 runs,Mohali,"Apr 19, 2008",Twenty20
RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Chargers,RCB,Chargers,6 runs,Johannesburg,"May 24, 2009",Twenty20
CSK,RCB,RCB,6 wickets,Johannesburg,"May 23, 2009",Twenty20
Chargers,Daredevils,Chargers,6 wickets,Centurion,"May 22, 2009",Twenty20
RCB,Chargers,RCB,12 runs,Centurion,"May 21, 2009",Twenty20
Daredevils,MI,Daredevils,4 wickets,Centurion,"May 21, 2009",Twenty20
CSK,Kings XI,CSK,24 runs,Durban,"May 20, 2009",Twenty20
KKR,RR,KKR,4 wickets,Durban,"May 20, 2009",Twenty20
RCB,Daredevils,RCB,7 wickets,Johannesburg,"May 19, 2009",Twenty20
CSK,KKR,KKR,7 wickets,Centurion,"May 18, 2009",Twenty20
Daredevils,RR,Daredevils,14 runs,Bloemfontein,"May 17, 2009",Twenty20
Chargers,Kings XI,Kings XI,1 run,Johannesburg,"May 17, 2009",Twenty20
Chargers,KKR,Chargers,6 wickets,Johannesburg,"May 16, 2009",Twenty20
CSK,MI,CSK,7 wickets,Gqeberha,"May 16, 2009",Twenty20
Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",Twenty20
MI,RR,RR,2 runs,Durban,"May 14, 2009",Twenty20
RCB,CSK,RCB,2 wickets,Durban,"May 14, 2009",Twenty20
Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",Twenty20
Kings XI,MI,MI,8 wickets,Centurion,"May 12, 2009",Twenty20
RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",Twenty20
Chargers,RR,Chargers,53 runs,Kimberley,"May 11, 2009",Twenty20
Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",Twenty20
RCB,MI,MI,16 runs,Gqeberha,"May 10, 2009",Twenty20
CSK,RR,CSK,7 wickets,Kimberley,"May 9, 2009",Twenty20
Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",Twenty20
Daredevils,MI,Daredevils,7 wickets,East London,"May 8, 2009",Twenty20
CSK,Kings XI,CSK,12 runs,Centurion,"May 7, 2009",Twenty20
RCB,RR,RR,7 wickets,Centurion,"May 7, 2009",Twenty20
Chargers,MI,Chargers,19 runs,Centurion,"May 6, 2009",Twenty20
Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",Twenty20
Kings XI,RR,RR,78 runs,Durban,"May 5, 2009",Twenty20
CSK,Chargers,CSK,78 runs,East London,"May 4, 2009",Twenty20
RCB,MI,RCB,9 wickets,Johannesburg,"May 3, 2009",Twenty20
Kings XI,KKR,Kings XI,6 wickets,Gqeberha,"May 3, 2009",Twenty20
CSK,Daredevils,CSK,18 runs,Johannesburg,"May 2, 2009",Twenty20
Chargers,RR,RR,3 wickets,Gqeberha,"May 2, 2009",Twenty20
RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",Twenty20
KKR,MI,MI,9 runs,East London,"May 1, 2009",Twenty20
CSK,RR,CSK,38 runs,Centurion,"Apr 30, 2009",Twenty20
Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",Twenty20
Kings XI,MI,Kings XI,3 runs,Durban,"Apr 29, 2009",Twenty20
RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",Twenty20
Daredevils,RR,RR,5 wickets,Centurion,"Apr 28, 2009",Twenty20
KKR,MI,MI,92 runs,Gqeberha,"Apr 27, 2009",Twenty20
CSK,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",Twenty20
Kings XI,RR,Kings XI,27 runs,Cape Town,"Apr 26, 2009",Twenty20
RCB,Daredevils,Daredevils,6 wickets,Gqeberha,"Apr 26, 2009",Twenty20
Chargers,MI,Chargers,12 runs,Durban,"Apr 25, 2009",Twenty20
RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",Twenty20
KKR,RR,tied,-,Cape Town,"Apr 23, 2009",Twenty20
CSK,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",Twenty20
RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",Twenty20
Kings XI,KKR,KKR,11 runs,Durban,"Apr 21, 2009",Twenty20
RCB,CSK,CSK,92 runs,Gqeberha,"Apr 20, 2009",Twenty20
Chargers,KKR,Chargers,8 wickets,Cape Town,"Apr 19, 2009",Twenty20
Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",Twenty20
RCB,RR,RCB,75 runs,Cape Town,"Apr 18, 2009",Twenty20
CSK,MI,MI,19 runs,Cape Town,"Apr 18, 2009",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
MI,CSK,CSK,22 runs,DY Patil,"Apr 25, 2010",Twenty20
Chargers,RCB,RCB,9 wickets,DY Patil,"Apr 24, 2010",Twenty20
CSK,Chargers,CSK,38 runs,DY Patil,"Apr 22, 2010",Twenty20
MI,RCB,MI,35 runs,DY Patil,"Apr 21, 2010",Twenty20
KKR,MI,KKR,9 wickets,Eden Gardens,"Apr 19, 2010",Twenty20
